imdbId,title,image,year,plot,directors,writers,top_cast
0101414,Die Schöne und das Biest,https://m.media-amazon.com/images/M/MV5BMzE5MDM1NDktY2I0OC00YWI5LTk2NzUtYjczNDczOWQxYjM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg,1991,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,"['Gary Trousdale', 'Kirk Wise']","['Linda Woolverton', 'Brenda Chapman', 'Chris Sanders']","[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti', 'Rex Everhart', 'Angela Lansbury', 'Jerry Orbach', 'Bradley Pierce', 'David Ogden Stiers', 'Richard White', 'Jo Anne Worley', 'Mary Kay Bergman', 'Brian Cummings', 'Alvin Epstein', 'Tony Jay', 'Alec Murphy', 'Kimmy Robertson', 'Hal Smith', 'Kath Soucie']"
0051658,Gigi,https://m.media-amazon.com/images/M/MV5BMWIzNzlkMWUtY2VhYy00NWMwLTg3MWUtZWY4ODZjMjBiMmM1XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_FMjpg_UX1000_.jpg,1958,"Weary of the conventions of Parisian society, a rich playboy and a youthful courtesan-in-training enjoy a platonic friendship which may not stay platonic for long.","['Vincente Minnelli', 'Charles Walters']","['Alan Jay Lerner', 'Colette', 'Niven Busch']","['Leslie Caron', 'Maurice Chevalier', 'Louis Jourdan', 'Hermione Gingold', 'Eva Gabor', 'Jacques Bergerac', 'Isabel Jeans', 'John Abbott', 'Marie-Hélène Arnaud', 'Jack Ary', 'Daniel Aubé', 'Richard Bean', 'Cecil Beaton', 'Jacques Bertrand', 'Paul Cristo', 'Hubert de Lapparent', 'Cilly Feindt', 'Edwin Jerome']"
0039628,Das Wunder von Manhattan,https://m.media-amazon.com/images/M/MV5BNjRkOGEwYTUtY2E5Yy00ODg4LTk2ZWItY2IyMzUxOGVhMTM1XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_FMjpg_UX1000_.jpg,1947,"After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends h... Read all",['George Seaton'],"['George Seaton', 'Valentine Davies']","['Edmund Gwenn', ""Maureen O'Hara"", 'John Payne', 'Gene Lockhart', 'Natalie Wood', 'Porter Hall', 'William Frawley', 'Jerome Cowan', 'Philip Tonge', 'Jack Albertson', 'Harry Antrim', 'Arline Bletcher', 'Lela Bliss', 'Walden Boyle', 'Kevin Burke', 'Dorothy Christy', 'Dick Cogan', 'Jeff Corey']"
0091042,Ferris macht blau,https://m.media-amazon.com/images/M/MV5BYTE5MTc5ZTktYmZjMS00YzRjLThlMDItMGM0ODZiZmRhZGRjXkEyXkFqcGdeQXVyNjkwOTQ4MDE@._V1_FMjpg_UX1000_.jpg,1986,"A popular high school student, admired by his peers, decides to take a day off from school and goes to extreme lengths to pull it off, to the chagrin of his Dean, who'll do anything to stop ... Read all",['John Hughes'],['John Hughes'],"['Matthew Broderick', 'Alan Ruck', 'Mia Sara', 'Jeffrey Jones', 'Jennifer Grey', 'Cindy Pickett', 'Lyman Ward', 'Edie McClurg', 'Charlie Sheen', 'Ben Stein', 'Del Close', 'Virginia Capers', 'Richard Edson', 'Larry Flash Jenkins', 'Kristy Swanson', 'Lisa Bellard', 'Max Perlich', 'Scott Coffey']"
0059742,"Meine Lieder, meine Träume",https://m.media-amazon.com/images/M/MV5BZThiMjk0ZDctOWNkNC00MDUyLTg1NzktYWFlYmQ4MDQwZjMzXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX1000_.jpg,1965,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,['Robert Wise'],"['Georg Hurdalek', 'Howard Lindsay', 'Russel Crouse']","['Julie Andrews', 'Christopher Plummer', 'Eleanor Parker', 'Richard Haydn', 'Peggy Wood', 'Charmian Carr', 'Heather Menzies-Urich', 'Nicholas Hammond', 'Duane Chase', 'Angela Cartwright', 'Debbie Turner', 'Kym Karath', 'Anna Lee', 'Portia Nelson', 'Ben Wright', 'Daniel Truhitte', 'Norma Varden', 'Gilchrist Stuart']"
0080339,Die unglaubliche Reise in einem verrückten Flugzeug,https://m.media-amazon.com/images/M/MV5BZWM5YWU2ZTUtZmU4Zi00MDU5LWJjYjItOGI0ZjYyZTBhM2ZjXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_FMjpg_UX1000_.jpg,1980,"After the crew becomes sick with food poisoning, a neurotic ex-fighter pilot must safely land a commercial airplane full of passengers.","['Jim Abrahams', 'David Zucker', 'Jerry Zucker']","['Jim Abrahams', 'David Zucker', 'Jerry Zucker']","['Robert Hays', 'Julie Hagerty', 'Leslie Nielsen', 'Kareem Abdul-Jabbar', 'Lloyd Bridges', 'Peter Graves', 'Lorna Patterson', 'Robert Stack', 'Stephen Stucker', 'Otto', 'Jim Abrahams', 'Frank Ashmore', 'Jonathan Banks', 'Craig Berenson', 'Barbara Billingsley', 'Lee Bryant', 'Joyce Bulifant', 'Mae E. Campbell']"
0120855,Tarzan,https://m.media-amazon.com/images/M/MV5BY2ZiYWUxN2ItYmQxZi00NDlkLWE2NDAtOTNmYTg1MDI0NDk1XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_FMjpg_UX1000_.jpg,1999,A man raised by gorillas must decide where he really belongs when he discovers he is a human.,"['Chris Buck', 'Kevin Lima']","['Tab Murphy', 'Bob Tzudiker', 'Noni White']","['Tony Goldwyn', 'Minnie Driver', 'Brian Blessed', 'Glenn Close', 'Nigel Hawthorne', 'Lance Henriksen', 'Wayne Knight', 'Alex D. Linz', ""Rosie O'Donnell"", 'Beth Anderson', 'Jack Angel', 'Joseph Ashton', 'Bob Bergen', 'Billy Bodine', 'Hillary Brooks', 'Rodger Bumpass', 'Lily Collins', 'Kat Cressida']"
0034492,Bambi,https://m.media-amazon.com/images/M/MV5BNTVhMDc3MzYtNzI4Ni00YmNmLTkzM2YtMjBhMGFkODFjOTk4XkEyXkFqcGdeQXVyMTU3NDU4MDg2._V1_FMjpg_UX1000_.jpg,1942,The story of a young deer growing up in the forest.,"['James Algar', 'Samuel Armstrong', 'David Hand']","['Felix Salten', 'Perce Pearce', 'Larry Morey']","['Hardie Albright', 'Stan Alexander', 'Bobette Audrey', 'Peter Behn', 'Thelma Boardman', 'Janet Chapman', 'Jeanne Christy', 'Dolyn Bramston Cook', 'Marion Darlington', 'Tim Davis', 'Donnie Dunagan', 'Sam Edwards', 'Ann Gillis', 'Otis Harlan', 'Eddie Holden', 'Sterling Holloway', 'Jack Horner', 'Cammie King Conlon']"
0099077,Zeit des Erwachens,https://m.media-amazon.com/images/M/MV5BNGUyNDdiYjYtYmE2Yi00MmRmLTk1OWEtNmZkNjIzODljNWExXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_FMjpg_UX1000_.jpg,1990,"The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.",['Penny Marshall'],"['Oliver Sacks', 'Steven Zaillian']","['Robert De Niro', 'Robin Williams', 'Julie Kavner', 'Ruth Nelson', 'John Heard', 'Penelope Ann Miller', 'Alice Drummond', 'Judith Malina', 'Barton Heyman', 'George Martin', 'Anne Meara', 'Richard Libertini', 'Laura Esterman', 'Dexter Gordon', 'Jayne Haynes', 'Le Clanché du Rand', 'Yusef Bulos', 'Steven Randazzo']"
0094737,Big,https://m.media-amazon.com/images/M/MV5BMDQ1ODM5MTMtMjAwYi00ZGUxLTliNTMtN2ZhODAwMjVhMTRlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_FMjpg_UX1000_.jpg,1988,"After wishing to be made big, a teenage boy wakes the next morning to find himself mysteriously in the body of an adult.",['Penny Marshall'],"['Gary Ross', 'Anne Spielberg']","['Tom Hanks', 'Elizabeth Perkins', 'Robert Loggia', 'John Heard', 'Jared Rushton', 'David Moscow', 'Jon Lovitz', 'Mercedes Ruehl', 'Josh Clark', 'Kimberlee M. Davis', 'Oliver Block', 'Erika Katz', 'Allan Wasserman', 'Mark Ballou', 'Gary Howard Klar', 'Alec Von Sommer', 'Chris Dowden', 'Rockets Redglare']"
0120789,"Pleasantville - Zu schön, um wahr zu sein",https://m.media-amazon.com/images/M/MV5BMmUyYTM4MTktNmM5Yy00YzFmLThiZTctNWQ4N2Y0NTBhY2ExXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_FMjpg_UX1000_.jpg,1998,"Two 1990s teenage siblings find themselves transported to a 1950s sitcom where their influence begins to profoundly change that colorless, complacent world.",['Gary Ross'],['Gary Ross'],"['Tobey Maguire', 'Jeff Daniels', 'Joan Allen', 'William H. Macy', 'Natalie Ramsey', 'Kevin Connors', 'Heather McGill', 'Paul Morgan Stetler', 'Denise Dowse', 'McNally Sagal', 'Jane Kaczmarek', 'Giuseppe Andrews', 'Reese Witherspoon', 'Marissa Ribisi', 'Jenny Lewis', 'Justin Nimmo', 'Kai Lennox', 'Jason Behr']"
0088763,Zurück in die Zukunft,https://m.media-amazon.com/images/M/MV5BNzY3NjNlMmMtZmU1MC00YTJjLTk0YzktNmE4YWZiYTkxODkyXkEyXkFqcGdeQXVyMjgyNDU4MjE@._V1_FMjpg_UX1000_.jpg,1985,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",['Robert Zemeckis'],"['Robert Zemeckis', 'Bob Gale']","['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover', 'Tom Wilson', 'Claudia Wells', 'Marc McClure', 'Wendie Jo Sperber', 'George DiCenzo', 'Frances Lee McCain', 'James Tolkan', 'J.J. Cohen', 'Casey Siemaszko', 'Billy Zane', 'Harry Waters Jr.', 'Donald Fullilove', 'Lisa Freeman', 'Cristen Kauffman']"
0108052,Schindlers Liste,https://m.media-amazon.com/images/M/MV5BMzcxNjZjMzEtNjZmZC00OTY4LWI1YmYtNGI0MzRlMGFjZTAzXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX1000_.jpg,1993,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",['Steven Spielberg'],"['Thomas Keneally', 'Steven Zaillian']","['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall', 'Jonathan Sagall', 'Embeth Davidtz', 'Malgorzata Gebel', 'Shmuel Levy', 'Mark Ivanir', 'Béatrice Macola', 'Andrzej Seweryn', 'Friedrich von Thun', 'Krzysztof Luft', 'Harry Nehring', 'Norbert Weisser', 'Adi Nitzan', 'Michael Schneider', 'Miri Fabian']"
0119643,Rendezvous mit Joe Black,https://m.media-amazon.com/images/M/MV5BOTgxZTFjY2MtNTAzOS00MzMwLWE4NDYtZGI4ZmEzODc3YmFiXkEyXkFqcGdeQXVyMTM2ODk1OTQ@._V1_FMjpg_UX1000_.jpg,1998,"Death, who takes the form of a young man killed in an accident, asks a media mogul to act as his guide to teach him about life on Earth and, in the process, he falls in love with the mogul's... Read all",['Martin Brest'],"['Ron Osborn', 'Jeff Reno', 'Kevin Wade']","['Brad Pitt', 'Anthony Hopkins', 'Claire Forlani', 'Jake Weber', 'Marcia Gay Harden', 'Jeffrey Tambor', 'David S. Howard', 'Lois Kelly-Miller', 'Jahnni St. John', 'Richard Clarke', 'Marylouise Burke', 'Diane Kagan', 'June Squibb', 'Gene Canfield', 'Suzanne Hevner', 'Steve Coats', 'Madeline Balmaceda', 'Julie Lund']"
0114148,Pocahontas,https://m.media-amazon.com/images/M/MV5BM2E0ZjY4YjItMDdlZi00YzNiLWJlYzQtMTlmNDNmM2Q4NjRkXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX1000_.jpg,1995,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,"['Mike Gabriel', 'Eric Goldberg']","['Carl Binder', 'Susannah Grant', 'Philip LaZebnik']","['Mel Gibson', 'Linda Hunt', 'Christian Bale', 'Joe Baker', 'Irene Bedard', 'Billy Connolly', 'James Apaumut Fall', 'John Kassir', 'Judy Kuhn', 'Danny Mann', 'Russell Means', 'David Ogden Stiers', 'Michelle St. John', 'Gordon Tootoosis', 'Frank Welker', 'Brian Cummings', 'Jim Cummings', 'Linda Gary']"
0083866,E.T. - Der Außerirdische,https://m.media-amazon.com/images/M/MV5BYzljMzAxNzgtODE0MS00NzMyLTlhNDAtNjZlYjk5OWFlMDg4XkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX1000_.jpg,1982,A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.,['Steven Spielberg'],['Melissa Mathison'],"['Henry Thomas', 'Drew Barrymore', 'Peter Coyote', 'Dee Wallace', 'Robert MacNaughton', 'K.C. Martel', 'Sean Frye', 'C. Thomas Howell', 'Erika Eleniak', ""David M. O'Dell"", 'Richard Swingler', 'Frank Toth', 'Robert Barton', 'Michael Darrell', 'David Berkson', 'David Carlberg', 'Milt Kogan', 'Alexander Lampone']"
0120338,Titanic,https://m.media-amazon.com/images/M/MV5BOGU0ZDEyYzAtMGU0Ny00OTk2LWI1ZDQtNjhiNzZhZmRiMjFiXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_FMjpg_UX1000_.jpg,1997,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",['James Cameron'],['James Cameron'],"['Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane', 'Kathy Bates', 'Frances Fisher', 'Gloria Stuart', 'Bill Paxton', 'Bernard Hill', 'David Warner', 'Victor Garber', 'Jonathan Hyde', 'Suzy Amis', 'Lewis Abernathy', 'Nicholas Cascone', 'Anatoly M. Sagalevitch', 'Danny Nucci', 'Jason Barry', 'Ewan Stewart']"
0117359,Ponette,https://m.media-amazon.com/images/M/MV5BZDgzZmY2MDYtM2JhNy00MzUwLWI3MzUtNTlhMmQ5MzY0ZDNhXkEyXkFqcGdeQXVyNzgzODI1OTE@._V1_FMjpg_UX1000_.jpg,1996,A four-year-old girl tries to come to terms with the sudden death of her mother.,['Jacques Doillon'],"['Jacques Doillon', 'Brune Compagnon']","['Victoire Thivisol', 'Delphine Schiltz', 'Matiaz Bureau Caton', 'Léopoldine Serre', 'Marie Trintignant', 'Xavier Beauvois', 'Claire Nebout', 'Aurélie Vérillon', 'Henri Berthon', 'Carla Ibled', 'Luckie Royer', 'Antoine du Merle', 'Marianne Favre', 'Hadrien Bouvier', 'Benjamin Charles', 'Luna Ragheb']"
0112691,Wallace & Gromit unter Schafen,https://m.media-amazon.com/images/M/MV5BZTc4NjhhNjAtYjMyZi00MTM1LWEwNmUtNGE1ZjkyYjY5ZjY5XkEyXkFqcGdeQXVyNjkwOTQ4MDE@._V1_FMjpg_UX1000_.jpg,6,Wallace's whirlwind romance with the owner of the local wool shop puts his head in a spin; Gromit is framed for sheep-rustling in a fiendish criminal plot.,['Nick Park'],"['Bob Baker', 'Nick Park']","['Peter Sallis', 'Anne Reid', 'Justin Fletcher', 'Peter Hawkins']"
0120587,Antz,https://m.media-amazon.com/images/M/MV5BYzQ0MTU4ODQtZGFhNy00NWI5LTk3ZjEtNDI2MTlhZThmZGQ2XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_FMjpg_UX1000_.jpg,1998,A rather neurotic ant tries to break from his totalitarian society while trying to win the affection of the princess he loves.,"['Eric Darnell', 'Tim Johnson']","['Todd Alcott', 'Chris Weitz', 'Paul Weitz']","['Woody Allen', 'Sharon Stone', 'Gene Hackman', 'Sylvester Stallone', 'Dan Aykroyd', 'Anne Bancroft', 'Jane Curtin', 'Danny Glover', 'Jennifer Lopez', 'John Mahoney', 'Paul Mazursky', 'Grant Shaud', 'Christopher Walken', 'Jim Cummings', 'Jerry Sroka', 'April Winchell', 'Eric Darnell', 'Pat Fry']"
0172493,Durchgeknallt,https://m.media-amazon.com/images/M/MV5BNWMyYTQyNjItNmE1OC00YWY5LWI3NzgtYmIxYzUyYmM3MjJhXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_FMjpg_UX1000_.jpg,1999,"A directionless teenager, Susanna, is rushed to Claymoore, a mental institution, after a supposed suicide attempt. There, she befriends a group of troubled women who deeply influence her lif... Read all",['James Mangold'],"['Susanna Kaysen', 'James Mangold', 'Lisa Loomer']","['Winona Ryder', 'Angelina Jolie', 'Clea DuVall', 'Brittany Murphy', 'Elisabeth Moss', 'Jared Leto', 'Jeffrey Tambor', 'Vanessa Redgrave', 'Whoopi Goldberg', 'Angela Bettis', 'Jillian Armenante', 'Drucie McDaniel', 'Alison Claire', 'Christina Myers', 'Joanna Kerns', 'Travis Fine', 'Gloria Barnhart', 'Josie Gammell']"
0119282,Hercules,https://m.media-amazon.com/images/M/MV5BZDcwYjEyNWItMGI1Mi00MjI1LWIyMDEtMTQ4YjhkNjM4NDU3XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_FMjpg_UX1000_.jpg,1997,The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.,"['Ron Clements', 'John Musker']","['Ron Clements', 'John Musker', 'Don McEnery']","['Tate Donovan', 'Susan Egan', 'James Woods', 'Barbara Barrie', 'Roger Bart', 'Mary Kay Bergman', 'Corey Burton', 'Danny DeVito', 'Jim Cummings', 'Keith David', 'Paddi Edwards', 'Samantha Eggar', 'Cheryl Freeman', 'Kathleen Freeman', 'Matt Frewer', 'Amanda Plummer', 'Bobcat Goldthwait', 'Bug Hall']"
0103639,Aladdin,https://m.media-amazon.com/images/M/MV5BYWFlN2VkZDQtNWY2NC00MTRmLTljMWMtOGZlNGM4ODZkNDU5XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_FMjpg_UX1000_.jpg,0,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"['Ron Clements', 'John Musker']","['Ron Clements', 'John Musker', 'Ted Elliott']","['Scott Weinger', 'Robin Williams', 'Linda Larkin', 'Jonathan Freeman', 'Frank Welker', 'Gilbert Gottfried', 'Douglas Seale', 'Charlie Adler', 'Jack Angel', 'Corey Burton', 'Philip L. Clarke', 'Jim Cummings', 'Jennifer Darling', 'Debi Derryberry', 'Bruce Gooch', 'Jerry Houser', 'Vera Lockwood', 'Sherry Lynn']"
